Team,Seed,Region,R64,R32,S16,E8,F4,Champ,Champ_Prob,EV_Pct,Bonus_EV,Total_EV_Pct,EV_Dollars,Est_Price,Value_Ratio,Surplus
Duke,1,East,0.99,0.917,0.748,0.571,0.379,0.244,0.23255813953488372,0.09794249999999999,0.0,0.09794249999999999,636.6262499999999,500.0,1.2732525,136.6262499999999
Michigan,1,Midwest,0.993,0.898,0.685,0.461,0.279,0.153,0.2222222222222222,0.08044,0.0,0.08044,522.86,500.0,1.04572,22.860000000000014
Arizona,1,West,0.99,0.89,0.693,0.448,0.261,0.14,0.2,0.07833749999999999,0.0,0.07833749999999999,509.19374999999997,500.0,1.0183875,9.193749999999966
Houston,2,South,0.982,0.864,0.541,0.333,0.173,0.094,0.09090909090909091,0.061220000000000004,0.0,0.061220000000000004,397.93,457.61949999999996,0.8695652173913044,-59.68949999999995
Florida,1,South,0.996,0.857,0.602,0.314,0.153,0.077,0.125,0.060175,0.0,0.060175,391.1375,472.29853124999994,0.8281573498964804,-81.16103124999995
Iowa State,2,Midwest,0.984,0.817,0.545,0.265,0.134,0.06,0.043478260869565216,0.053665,0.0,0.053665,348.8225,401.14587499999993,0.8695652173913044,-52.32337499999994
Purdue,2,West,0.978,0.849,0.467,0.22,0.102,0.043,0.027777777777777776,0.047092499999999995,0.0,0.047092499999999995,306.10125,352.01643749999994,0.8695652173913044,-45.915187499999945
Illinois,3,South,0.973,0.836,0.385,0.207,0.091,0.042,0.05,0.04329500000000001,0.0,0.04329500000000001,281.4175,295.488375,0.9523809523809523,-14.070875000000001
Gonzaga,3,West,0.956,0.762,0.412,0.193,0.089,0.037,0.017857142857142856,0.04202,0.0,0.04202,273.13,301.125825,0.9070294784580498,-27.995825000000025
UConn,2,East,0.964,0.782,0.426,0.148,0.062,0.024,0.05555555555555555,0.038599999999999995,0.0,0.038599999999999995,250.89999999999998,331.81524999999993,0.7561436672967865,-80.91524999999996
Michigan State,3,East,0.942,0.5536271777003484,0.2727177700348432,0.131506968641115,0.057948606271776996,0.024390243902439025,0.024390243902439025,0.030106635452961675,0.0,0.030106635452961675,195.6931304442509,226.02556566310983,0.8658008658008657,-30.332435218858933
Virginia,3,Midwest,0.93,0.5337494145199062,0.2521545667447307,0.11379976580796254,0.04509660421545667,0.01639344262295082,0.01639344262295082,0.027274173009367682,0.0,0.027274173009367682,177.28212456088994,186.14623078893445,0.9523809523809523,-8.864106228044506
Kansas,4,East,0.926,0.4741470588235294,0.2338235294117647,0.10259803921568628,0.04610294117647059,0.0196078431372549,0.0196078431372549,0.025678835784313726,0.0,0.025678835784313726,166.9124325980392,201.54676236213234,0.8281573498964803,-34.63432976409314
Arkansas,4,West,0.916,0.4741470588235294,0.2338235294117647,0.10259803921568628,0.04610294117647059,0.0196078431372549,0.0196078431372549,0.025628835784313724,0.0,0.025628835784313724,166.58743259803921,174.91680422794118,0.9523809523809523,-8.32937162990197
St. John's,5,East,0.85,0.39750980392156865,0.19658823529411765,0.08651960784313724,0.04060294117647059,0.0196078431372549,0.0196078431372549,0.02222633578431373,0.0,0.02222633578431373,144.47118259803923,144.47118259803923,1.0,0.0
Nebraska,4,South,0.927,0.4456089108910891,0.2047029702970297,0.08027227722772277,0.030086633663366332,0.0099009900990099,0.009900990099009901,0.02208137995049505,0.0,0.02208137995049505,143.5289696782178,150.7054181621287,0.9523809523809524,-7.176448483910889
Alabama,4,Midwest,0.901,0.4456089108910891,0.2047029702970297,0.08027227722772277,0.030086633663366332,0.0099009900990099,0.009900990099009901,0.02195137995049505,0.0,0.02195137995049505,142.68396967821784,164.7999849783416,0.8658008658008658,-22.116015300123763
Vanderbilt,5,South,0.812,0.38057575757575757,0.1805454545454545,0.07537878787878789,0.03325,0.015151515151515152,0.015151515151515152,0.020212026515151516,0.0,0.020212026515151516,131.37817234848487,131.37817234848487,1.0,0.0
Wisconsin,5,West,0.763,0.3765211267605634,0.17670422535211266,0.0727112676056338,0.03148943661971831,0.014084507042253521,0.014084507042253521,0.019530220070422537,0.0,0.019530220070422537,126.94643045774649,126.94643045774649,1.0,0.0
